,Район,Адрес,Площадь,clean_address,latitude,longitude
1740,Василеостровский,"сквер б/н на 12-й линии В.О., д.51, корп.2",0.24,санкт-петербург линия В. О. 12-я дом 51  корпус 2,59.9405279,30.0779739
1741,Василеостровский,бульвар б/н на Среднем пр. В.О. от Кадетской линии В.О. до наб.Макарова,0.16,санкт-петербург проспект Среднем ,59.938959,30.1329596
1742,Василеостровский,"сквер б/н на Малом пр. В.О., д.26",0.05,санкт-петербург проспект Малий ,59.9625384,30.2830832
1743,Фрунзенский,Воронежский сад на пересечении Прилукской ул. и Воронежской ул.,1.27,санкт-петербург улица Прилукская ,59.90965,30.3377825
1744,Фрунзенский,"Яблоневый сад на Белградской ул. между д.26, корп.9, и ул.Турку",14.8,санкт-петербург улица Белградская дом 26  корпус 9,59.8601855,30.3561744
1745,Фрунзенский,"сквер б/н на Пражской ул., д.46",1.05,санкт-петербург улица Пражская дом 46,59.8652405,30.3921603
1746,Фрунзенский,сквер б/н на пересечении Бухарестской ул. и Волковского пр.,0.52,санкт-петербург улица Бухарестская ,59.8624253,30.3794348
1747,Фрунзенский,"сквер б/н на ул.Белы Куна, д.24, корп.1",1.87,санкт-петербург улица Белы Куна дом 24  корпус 1,59.8768126,30.3815503
1748,Фрунзенский,сквер б/н на ул.Турку от Белградской ул. до Будапештской ул.,5.11,санкт-петербург улица Турку ,59.8680017,30.3764937
1749,Фрунзенский,"сквер Димитрова на ул.Димитрова, д.8, корп.2",1.43,санкт-петербург улица Димитрова дом 8  корпус 2,59.8474312,30.3667487
1750,Фрунзенский,"сквер б/н на Купчинской ул. между д.4, корп.1, и д.6/4, корп.1",2.82,санкт-петербург улица Купчинская дом 4  корпус 1,59.84445,30.3717785
1751,Фрунзенский,сквер б/н на пересечении Пражской ул. и ул.Турку,1.2,санкт-петербург улица Пражская ,59.8719047,30.381337
1752,Фрунзенский,сквер б/н на Волковском пр. между р.Волковкой и Касимовской ул.,1.99,санкт-петербург проспект Волковский ,59.8915312,30.3452091
