Район города,Номер по списку,Наименование,"Площадь, га",Основание
Московский,11033,"сквер б/н на Бассейной ул., д.53",0.74,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11070,сквер б/н на пересечении ул.Решетникова и Свеаборгской ул.,0.49,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11072,"сквер б/н на пл.Чернышевского, д.11",2.59,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11093,бульвар б/н на пр.Космонавтов,21.73,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11094,"сквер б/н на ул.Орджоникидзе, д.63",0.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11095,"сквер б/н на Звездной ул., д.22",0.75,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11102,"сквер б/н на Пулковском шоссе, д.7, корп.2",1.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11103,сквер б/н на пересечении Пулковского шоссе и Дунайского пр.,5.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11105,Колмовский сад на пересечении Московского пр. и ул.Глеба Успенского,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11122,"сквер Северная Роща между Авиационной ул., Московским пр., ул. Типанова и Демонстрационным проездом",1.98,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11123,"сквер б/н на ул.Ленсовета, д.12",1.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11127,бульвар б/н на пр.Юрия Гагарина от Бассейной ул. до ул.Ленсовета,19.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11135,сквер б/н между ул.Ленсовета и ул.Орджоникидзе,5.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11138,сквер б/н на Московской пл.,2.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11145,"сквер б/н на пр.Космонавтов, д.48",0.43,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11147,"сквер б/н на пр.Космонавтов, д.48, корп.1",0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11148,"сквер б/н на пр.Космонавтов, д.46, корп.1",0.5,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11151,"сквер б/н на Московском пр., д.212",2.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11152,сквер б/н на ул.Решетникова между д.5 и д.9,0.39,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11157,"сквер б/н на Московском пр., д.66",0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11158,Смоленский сквер на пересечении Московского пр. и Смоленской ул.,0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11169,бульвар б/н на Алтайской ул.,1.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11174,сквер б/н на Бассейной ул. между д.41 и д.45,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11175,"сквер б/н на ул.Орджоникидзе, д.33, д.39 и д.43",0.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11176,"сквер б/н на пр.Космонавтов, д.32",0.31,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11178,"сквер б/н на пр.Космонавтов, д.22",0.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11180,"сквер б/н на Авиационной ул., д.38",0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11182,"сквер б/н на ул.Ленсовета, д.3 и д.5",0.43,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11186,сквер б/н на Московском пр. между д.179 и д.189,1.7,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
